"Reference","Value","Datasheet","Footprint","Qty","DNP","DK Part Number"
"D1,D2","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2","","1N4007GP-E3/73GICT-ND "
"H1,H2,H3,H4","MountingHole","~","-- mixed values --","4","",""
"J1,J2","DE9_Plug_MountingHoles"," ~","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","2","","A32094-ND"
"J3","DE9_Receptacle_MountingHoles"," ~","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","1","","A32119-ND"
"J4","M8_conn_01x03_Pin_Shielded","~","OBI Connectors:M8_conn_01x03_Pin_Shielded_Right_Angle","1","",""
"RY1,RY2,RY3,RY4","TE IM23TS DPDT","","OBI Components:TE IM23TS DPDT Relay","4","","PB1169-ND"
